	Wolf1_S70	Wolf10_S79	Wolf11_S80	Wolf12_S81	Wolf13_S82	Wolf14_S83	Wolf15_S84	Wolf16_S85	Wolf17_S86	Wolf18_S87	Wolf19_S88	Wolf2_S71	Wolf20_S89	Wolf21_S90	Wolf22_S91	Wolf23_S92	Wolf24_S93	Wolf25_S94	Wolf3_S72	Wolf4_S73	Wolf5_S74	Wolf6_S75	Wolf7_S76	Wolf8_S77	Wolf9_S78
ASV 106 _	0	16	0	203	0	0	18	0	11	19	0	0	0	0	0	0	0	0	0	0	4	13	0	0	209
ASV 107 _	0	0	0	110	29	150	0	76	0	0	0	0	0	0	121	0	3	0	0	0	0	0	0	0	0
ASV 108 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	139	0	0	0
ASV 109 _	0	361	0	0	99	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0
ASV 110 _	3	216	1	0	126	6	2	0	0	0	0	0	0	0	0	0	0	0	0	2	90	28	0	0	0
ASV 111 _	1	40	0	24	4	0	6	0	3	0	0	89	0	0	0	0	1	0	96	0	70	47	88	2	0
ASV 112 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	0	0	67	0
ASV 113 _	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	46	212	0	0	0	15	34	53	51	49
ASV 114 _	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0
ASV 115 _	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	333	115	0	0	0
ASV 116 _	0	0	0	0	51	0	0	0	7	1	0	300	0	0	0	0	0	0	30	0	0	0	0	0	70
ASV 117 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327	121	0	0	0
ASV 118 _	0	0	0	0	405	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	5	5	0	0	0
ASV 119 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	0	0	0	0
ASV 120 _	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	73	0	0	4	0	0	0	0
ASV 121 _	0	0	0	0	0	0	0	0	1	0	0	225	0	0	0	0	13	0	181	0	0	0	0	0	0
ASV 122 _	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	6	0	0	0	41	64	0	0	17
ASV 123 _	0	0	0	76	0	0	12	0	32	26	0	53	0	0	0	0	4	0	0	1	9	6	13	169	0
ASV 124 _	0	0	0	19	0	0	0	0	175	180	0	0	6	0	0	0	4	7	5	0	0	0	0	0	5
ASV 125 _	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	80	0	0	1	0	134	101	0	0	0
ASV 126 _	5	0	0	0	0	0	7	354	5	0	0	0	0	4	0	0	3	0	0	0	1	12	0	0	0
ASV 127 _	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	68	0	0	0
ASV 128 _	0	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 129 _	10	0	0	34	0	0	22	0	9	2	0	0	0	50	0	0	23	0	18	0	23	84	103	0	0
ASV 130 _	0	0	0	5	0	0	23	0	302	40	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV 131 _	2	0	0	69	0	0	24	64	46	45	0	0	0	1	0	0	0	0	0	0	36	70	12	0	0
ASV 132 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	147	211	0
ASV 133 _	0	0	0	0	81	0	0	0	2	0	0	24	0	0	0	0	0	0	0	0	0	0	0	258	0
ASV 134 _	0	0	0	249	0	0	14	0	0	0	0	0	0	0	0	6	57	0	0	0	5	9	24	0	0
ASV 135 _	0	0	158	0	0	0	32	0	13	0	0	0	0	9	0	36	0	0	0	0	0	0	0	0	114
ASV 136 _	0	0	0	0	0	0	22	0	92	20	69	0	0	8	0	0	0	0	0	0	33	108	6	0	0
ASV 137 _	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 138 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253	104	0	0	0
ASV 139 _	0	0	0	0	195	0	0	0	5	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	101
ASV 140 _	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	59	257	0	0
ASV 141 _	0	0	0	0	0	0	0	69	128	127	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0
ASV 142 _	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 143 _	0	0	0	0	0	0	0	0	161	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 144 _	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 145 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	4	0
ASV 146 _	1	0	22	12	0	0	14	0	19	19	0	0	8	15	0	0	0	0	9	0	6	23	10	0	179
ASV 147 _	0	0	0	0	0	0	12	127	2	0	148	0	31	0	0	0	16	0	0	0	0	0	0	0	0
ASV 148 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0
ASV 149 _	0	0	0	0	0	0	9	161	29	14	7	0	83	0	18	0	8	0	0	0	0	0	0	0	4
ASV 150 _	4	0	10	0	0	0	32	0	3	0	0	18	0	0	0	7	21	31	45	0	53	108	0	0	0
ASV 151 _	0	0	0	0	0	226	7	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 152 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0
ASV 153 _	0	243	5	56	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 154 _	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	29	0	0	290	0	0	0	0	0	0
ASV 155 _	3	0	0	0	0	27	0	0	9	5	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 156 _	2	288	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	19	0	0	0	4	0	0
ASV 157 _	0	0	0	0	0	0	0	0	163	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 158 _	0	0	0	13	0	0	0	0	10	0	19	121	0	3	0	0	54	0	0	0	0	0	0	0	96
ASV 159 _	0	0	0	0	0	0	0	0	161	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 160 _	0	0	5	0	0	0	1	137	60	44	0	0	0	0	0	0	1	0	0	0	20	45	0	0	0
ASV 161 _	4	0	0	6	0	0	21	0	93	15	0	0	0	5	0	0	15	0	44	0	30	79	0	0	0
ASV 162 _	10	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	8	20	0	0
